city,id,name,officialName,population2010,population2020,populationGrowthPct,childShare,workingAgeShare,seniorShare,medianHouseholdIncome,incomeYear,source
北京,beijing,北京,东城区,919253,708829,-22.9,13.9,59.7,18.2,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,西城区,1243315,1106214,-11.0,14.3,59.7,18.2,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,朝阳区,3545137,3452460,-2.6,11.4,68.0,14.3,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,丰台区,2112162,2019764,-4.4,10.9,65.4,15.8,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,石景山区,616083,567851,-7.8,11.4,64.4,16.4,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,海淀区,3280670,3133469,-4.5,11.8,69.7,13.1,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,门头沟区,290476,392606,35.2,11.4,66.0,14.8,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,房山区,944832,1312778,38.9,12.9,67.3,13.2,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,通州区,1184256,1840295,55.4,12.1,70.7,11.5,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,顺义区,876620,1324044,51.0,11.7,71.7,10.8,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,昌平区,1660501,2269487,36.7,10.4,74.66,9.72,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,大兴区,1365112,1993591,46.0,11.9,73.1,9.7,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,怀柔区,372887,441040,18.3,11.8,68.7,12.8,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,平谷区,415958,457313,9.9,13.3,62.7,16.4,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,密云区,467680,527683,12.8,12.7,64.2,15.2,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
北京,beijing,北京,延庆区,317426,345671,8.9,11.7,65.3,15.7,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,黄浦区,678670,662030,-2.5,,,,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,徐汇区,1085130,1113078,2.6,9.8,61.5,20.6,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,长宁区,690571,693051,0.4,8.9,62.0,20.7,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,静安区,1077284,975707,-9.4,9.3,59.1,22.0,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,普陀区,1288881,1239800,-3.8,9.39,60.05,21.12,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,虹口区,852476,757498,-11.1,8.2,58.6,23.2,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,杨浦区,1313222,1242548,-5.4,8.8,59.4,21.9,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,闵行区,2429372,2653489,9.2,10.9,75.1,14.0,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,宝山区,1904886,2235218,17.3,10.01,67.13,15.39,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,嘉定区,1471231,1834258,24.7,9.8,72.3,12.1,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,浦东新区,5044430,5681512,12.6,10.5,67.9,15.0,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,金山区,732438,822776,12.3,9.2,67.2,17.0,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,松江区,1582398,1909713,20.7,10.7,73.5,10.9,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,青浦区,1081022,1271424,17.6,8.9,74.5,11.6,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,奉贤区,1083463,1140872,5.3,9.3,71.4,13.8,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
上海,shanghai,上海,崇明区,703722,637921,-9.4,6.7,53.6,29.6,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,荔湾区,898200,1238305,37.9,13.37,66.82,13.66,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,越秀区,1157277,1038643,-10.3,13.64,64.11,15.88,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,海珠区,1558663,1819037,16.7,11.32,71.63,11.75,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,天河区,1432426,2241826,56.5,11.57,79.83,5.89,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,白云区,2223150,3742991,68.4,11.81,79.85,5.55,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
广州,guangzhou,广州,黄埔区,831600,1264447,52.0,15.44,76.15,5.56,,,China Census county panel v1 (Dong et al.; official census bulletins digitized)
